"REGIONE";"PROVINCIA";"COMUNE";"SPECIE";"DATA_SOSPETTO";"DATA_CONFERMA";"LONGITUDINE";"LATITUDINE";"ESITO";"DATA_PRELIEVO";"DATA"
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.982523;44.391836;"N";2022-02-28;2022-03-01 00:00:00
"PIEMONTE";"AT";"CORTIGLIONE";"CINGHIALE(SELVATICI)";NA;NA;8.372263;44.833561;"N";2022-03-31;2022-03-31 23:00:00
"PIEMONTE";"AL";"ORSARA BORMIDA";"SUINI(DOMESTICI)";NA;NA;8.557514;44.689158;"N";2022-01-13;2022-01-13 16:00:00
"PIEMONTE";"AL";"PONZONE";"CINGHIALE(SELVATICI)";NA;NA;8.458627;44.567285;"N";2022-04-24;2022-04-24 17:00:00
"PIEMONTE";"AT";"ROCCA D'ARAZZO";"CINGHIALE(SELVATICI)";NA;NA;8.263087;44.85525;"N";2022-04-21;2022-04-21 04:00:00
"PIEMONTE";"CN";"SALICETO";"CINGHIALE(SELVATICI)";NA;NA;8.177855;44.415574;"N";2022-04-12;2022-04-12 19:00:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.936123;44.428457;"N";2022-01-20;2022-01-20 13:00:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.962806;44.440475;"N";2022-04-26;2022-04-26 14:30:00
"LIGURIA";"GE";"GENOVA";"CINGHIALE(SELVATICI)";NA;NA;8.964438;44.436453;"N";2022-04-26;2022-04-26 14:00:00
"LOMBARDIA";"PV";"ARENA PO";"CINGHIALE(SELVATICI)";NA;NA;9.43202;45.090872;"N";2022-02-22;2022-02-23 00:00:00
"PIEMONTE";"AT";"ROCCA D'ARAZZO";"CINGHIALE(SELVATICI)";NA;NA;8.264814;44.856718;"N";2022-04-19;2022-04-19 22:00:00
"PIEMONTE";"AT";"ROCCA D'ARAZZO";"CINGHIALE(SELVATICI)";NA;NA;8.264957;44.856534;"N";2022-04-19;2022-04-19 22:30:00
"PIEMONTE";"CN";"LEQUIO TANARO";"CINGHIALE(SELVATICI)";NA;NA;7.890816;44.559878;"N";2022-01-29;2022-01-29 22:00:00
"EMILIA-ROMAGNA";"PC";"CAORSO";"CINGHIALE(SELVATICI)";NA;NA;9.818777;45.04314;"N";2022-02-22;2022-02-22 09:45:00
"PIEMONTE";"AL";"CAPRIATA D'ORBA";"CINGHIALE(SELVATICI)";NA;NA;8.684643;44.74114;"N";2022-04-29;2022-04-29 17:00:00
"PIEMONTE";"CN";"VICOFORTE";"CINGHIALE(SELVATICI)";NA;NA;7.879546;44.369401;"N";2022-02-25;2022-02-25 10:15:00
"PIEMONTE";"AL";"PREDOSA";"CINGHIALE(SELVATICI)";NA;NA;8.669059;44.757886;"N";2022-03-13;2022-03-13 17:15:00
"PIEMONTE";"AL";"SAN SALVATORE MONFERRATO";"CINGHIALE(SELVATICI)";NA;NA;8.54357;45.01985;"N";2022-03-09;2022-03-09 15:00:00
"LIGURIA";"SV";"ANDORA";"CINGHIALE(SELVATICI)";NA;NA;8.136151;43.952486;"N";2022-04-03;2022-04-04 00:00:00
"LIGURIA";"SV";"VARAZZE";"CINGHIALE(SELVATICI)";NA;NA;8.584265;44.359694;"N";2022-02-08;2022-02-09 00:00:00
